Vds,Ids (Vg=5.0V),Ids (Vg=7.0V),Ids (Vg=9.0V),Ids (Vg=12.9V),Ids (Vg=14.9V)
1.891342786069652,,,19.2550447761194,,
1.898905472636816,,,,,34.0132736318408
1.9218562189054729,,5.268321890547263,,,
1.9396373134328355,,,,,35.86399004975124
1.9402965174129352,,,19.97212437810945,,
1.9408960199004972,0.1326692985074627,,,,
1.97457960199005,,5.291207462686567,,,
1.979162686567164,,,,,37.25532338308457
1.986733,0.1246662299999999,,,,
1.9956731343283585,,,20.63187064676617,,
2.0224915422885568,,,,,38.94363184079602
2.024080099502488,,5.4384721393034825,,,
2.0382776119402988,,,21.26434328358209,,
2.0397315000000003,0.130332815,,,,
2.074562686567164,,5.422554228855722,,,
2.0805985074626863,,,,,40.459348258706456
2.090948258706468,,,22.25103482587065,,
2.092472139303483,0.1250410298507462,,,,
2.120133333333334,,5.418242288557214,,,
2.120929353233832,,,,,42.26693532338308
2.1287577114427862,,,22.359781094527364,,
2.1325315,0.125332655,,,,
2.1687562189054725,,,,,43.7645223880597
2.169553731343284,,5.414263184079601,,,
2.1773830845771145,,,22.845467661691544,,
2.185013432835821,0.1562186865671641,,,,
2.216583582089552,,,,,45.50247761194029
2.220693532338309,,5.413600000000001,,,
2.221819402985074,,,23.340273631840795,,
2.2379407960199007,0.1127688656716418,,,,
2.251929850746268,,,,,46.94038805970149
2.2667910447761197,,5.445771144278607,,,
2.275080099502488,,,23.790258706467664,,
2.2823203980099502,0.1469317064676616,,,,
2.291143781094527,,,,,48.63683084577115
2.3230517412935323,,5.562521393034826,,,
2.328226368159204,,,24.217920398009948,,
2.3374497512437804,0.1429512537313432,,,,
2.3499184079601987,,,,,50.12435820895522
2.3709487562189056,,5.441453731343283,,,
2.3748606965174126,,,24.542960199004977,,
2.384687562189055,0.1296841741293532,,,,
2.3956313432835823,,,,,51.67161691542288
2.413734825870647,,5.441127363184078,,,
2.4242199004975125,,,24.929716417910445,,
2.431378109452736,0.1303478855721393,,,,
2.4341651741293533,,,,,53.29176616915422
2.469256218905473,,5.39237263681592,,,
2.471773631840796,,,25.18973631840796,,
2.484110945273632,,,,,55.076283582089545
2.4859044776119408,0.1290210497512438,,,,
2.5170174129353238,,5.554227860696519,,,
2.528360199004975,,,,,56.97181094527362
2.5288625,0.150332795,,,,
2.532738805970149,,,25.425875621890544,,
2.5579432835820897,,,25.68123383084578,,
2.564178109452736,,5.517081094527363,,,
2.575654726368159,,,,,58.59866666666666
2.5843487562189056,0.1187388805970149,,,,
2.611939800995025,,,25.863676616915424,,
2.6227517412935324,,,,,60.12258208955223
2.6229487562189058,,5.538307960199005,,,
2.6389355,0.14699978,,,,
2.647497014925373,0.1482583482587064,,,,
2.6660840796019905,,5.531342288557214,,,
2.667871144278607,,,,,61.64515422885572
2.670383084577115,,,26.045447761194023,,
2.675409,0.13933271,,,,
2.7111761194029853,,,,,63.245497512437815
2.715358706467662,,5.5346592039801,,,
2.7183398009950253,,,26.229174129353236,,
2.7631840796019898,,,,,64.56882587064678
2.763385572139304,,,26.37085074626865,,
2.769685572139303,,5.5469323383084586,,,
2.78447,0.1406661599999999,,,,
2.803982089552239,,,,,66.18573631840795
2.816710447761193,,5.556219402985074,,,
2.820301990049751,,,26.51154228855721,,
2.827130845771144,0.1572133532338308,,,,
2.8471661691542294,,,,,67.56212437810944
2.860561194029851,,,27.07157213930348,,
2.8648766169154234,,5.546269154228855,,,
2.882334,0.140332795,,,,
2.8961850746268656,,,,,69.01992039800996
2.917741293532338,,,26.730970149253736,,
2.918802487562189,,5.523714427860696,,,
2.929207462686567,0.1250407810945273,,,,
2.9538194029850757,,,,,70.61042288557213
2.9601850746268656,,,26.83319402985075,,
2.963782587064677,,5.543947263681592,,,
2.9744597014925374,0.1353226567164179,,,,
2.994361194029851,,,,,71.8639751243781
2.9990074626865675,,,26.927019900497516,,
3.019171144278607,,5.542952736318408,,,
3.0316684999999994,0.146333,,,,
