Vds,Ids (Vg=2.5V)_x,Ids (Vg=2.5V)_y,Ids (Vg=3.0V),Ids (Vg=4.0V),Ids (Vg=6.0V),Ids (Vg=8.0V),Ids (Vg=10.0V),Ids (Vg=12.0V),Ids (Vg=15.0V)
0.490281592039801,1.4341621890547265,,,,,,,,
0.4959867164179105,,1.3117743781094529,,,,,,,
0.5059698507462688,,,,,41.51771641791045,,,,
0.5129023880597015,,,,,,,,,43.07628358208955
0.5132337810945273,,,,,,,,42.98672139303483,
0.5136980099502487,,,,,,,42.825885572139306,,
0.5164176119402984,,,,,,42.69652736318408,,,
0.5211937810945274,,,10.603628855721391,,,,,,
0.5244441293532339,,,,32.98177611940298,,,,,
0.5368156218905473,,,,,44.37870646766171,,,,
0.5458707462686567,1.328029950248756,,,,,,,,
0.5486566666666667,,1.364848606965174,,,,,,,
0.5535653731343283,,,,,,45.66373631840797,,,
0.5565506467661692,,,,,,,,46.05803980099502,
0.5570813432835822,,,,,,,,,46.18406965174129
0.5576782587064677,,,,35.49782089552239,,,,,
0.5599337810945273,,,,,,,45.85074626865672,,
0.5698179104477613,,,,,47.17809452736318,,,,
0.5799669651741294,,,10.993363184079604,,,,,,
0.5944274129353233,,,,38.24875124378109,,,,,
0.5958867661691543,,,,,,,,48.92371641791045,
0.5985073134328358,,,,,,48.55262189054727,,,
0.5989382089552239,1.3273648756218903,,,,,,,,
0.5990045771144278,,,,,,,,,49.03650248756219
0.5995349751243781,,,,,,,48.71308457711443,,
0.6009278109452736,,1.4096215422885572,,,,,,,
0.6195013432835821,,,11.611955223880598,,,,,,
0.6212268159203979,,,,,50.1173880597015,,,,
0.6331009950248756,,,,40.55190547263681,,,,,
0.6357543781094527,,,,,,,,,52.13598507462686
0.6358871641791045,,,,,,,,51.93200497512437,
0.636616815920398,,,,,,,51.77614427860697,,
0.6388059701492537,1.450746766169154,,,,,,,,
0.6422882089552238,,,,,,51.53165174129353,,,
0.64636815920398,,1.3830889552238803,,,,,,,
0.6661694527363183,,,,,52.79808457711443,,,,
0.6740296517412934,,,12.049751243781095,,,,,,
0.6797346766169153,,,,,,,,,54.79105970149252
0.6821892039800994,,,,,,,,54.847447761194026,
0.6837146766169154,,,,,,,54.41290547263681,,
0.68772815920398,,,,,,54.3070945273632,,,
0.6893527860696518,,,,43.01637810945273,,,,,
0.6959203980099502,1.371805621890547,,,,,,,,
0.696782736318408,,1.4328403980099509,,,,,,,
0.7155882089552239,,,,,55.50986567164179,,,,
0.7217250746268655,,,12.230487562189056,,,,,,
0.726102487562189,,,,45.07597512437811,,,,,
0.7265671144278606,,,,,,,57.28351741293532,,
0.7268988059701491,,,,,,,,57.46429353233831,
0.728623631840796,,,,,,,,,57.6219104477612
0.7363180099502487,,,,,,57.10049253731344,,,
0.7444124378109451,1.4135971641791043,,,,,,,,
0.7452749253731342,,1.3598698507462688,,,,,,,
0.7565503980099502,,,,,58.13656218905473,,,,
0.76199039800995,,,,,,,,60.32325373134328,
0.7625209452736318,,,,,,,,,60.41781094527363
0.7653736815920397,,,,,,,60.157447761194014,,
0.7704160696517413,,,12.33331343283582,,,,,,
0.7714765174129353,,,,47.42487562189054,,,,,
0.7827525373134329,,,,,,59.816238805970144,,,
0.791907263681592,1.3910419402985077,,,,,,,,
0.7942955223880596,,1.373136119402985,,,,,,,
0.8024543781094529,,,,,,,,62.70814427860697,
0.803449552238806,,,,,,,62.55059701492538,,
0.8074296019900497,,,,,,,,,62.99004975124378
0.8112768656716418,,,,,60.557815920398006,,,,
0.8112768656716418,,,,,60.557815920398006,,,,
0.8112768656716418,,,,,60.557815920398006,,,,
0.8116748756218906,,,11.721427860696515,,,,,,
0.8266999004975124,,,,,,62.22427860696519,,,
0.8348919900497512,,,,49.80631343283582,,,,,
0.8468326368159202,1.384411094527363,,,,,,,,
0.8494857711442785,,1.389722736318408,,,,,,,
0.8498837313432834,,,,,,,,65.51245771144279,
0.8542617910447761,,,,,,,,,65.65503482587064
0.8565173631840796,,,,,,,65.22719402985075,,
0.8580430348258706,,,,51.068666666666665,,,,,
0.8605320398009951,,,,,,65.01169154228856,,,
0.8619570646766168,,,11.998348258706466,,,,,,
0.8919388557213932,1.4189021393034826,,,,,,,,
0.8930665671641791,,1.41957592039801,,,,,,,
0.8955875621890548,,,,,,,,,68.20726368159204
0.8967816915422885,,,,,,,,67.94859701492537,
0.8979758706467662,,,,,,,67.73465671641792,,
0.8996691044776118,,,,,,67.60463184079602,,,
0.9000317910447762,,,,53.11910945273631,,,,,
