Tempo (s),Tensao (V)
0.0012000000000000005,0.99166667
0.0012100000000000001,0.99145833
0.0012200000000000006,0.99104167
0.0012300000000000002,0.99104167
0.0012400000000000007,0.990625
0.0012500000000000002,0.99083333
0.0012600000000000007,0.990625
0.0012700000000000003,0.990625
0.0012799999999999999,0.99041667
0.0012900000000000003,0.99020833
0.0013,0.990625
0.0013100000000000004,0.990625
0.00132,0.990625
0.0013300000000000005,0.99041667
0.00134,0.99041667
0.0013500000000000005,0.990625
0.00136,0.99104167
0.0013700000000000006,0.99145833
0.0013800000000000002,0.99104167
0.0013900000000000006,0.99125
0.0014000000000000002,0.991875
0.0014100000000000007,0.99104167
0.0014200000000000003,0.99291667
0.0014300000000000007,0.98895833
0.0014400000000000003,0.99541667
0.00145,0.98375
0.0014600000000000004,1.0035417
0.00147,0.969375
0.0014800000000000004,1.0360417
0.00149,0.66333333
0.0015000000000000005,0.0052083333
0.00151,0.015625
0.0015200000000000005,-0.00625
0.0015300000000000001,0.0072916667
0.0015400000000000006,-0.0022916667
0.0015500000000000002,0.0027083333
0.0015600000000000006,0.00020833333
0.0015700000000000002,0.0014583333
0.0015800000000000007,0.0010416667
0.0015900000000000003,0.00020833333
0.0016000000000000007,0.00020833333
0.0016100000000000003,0.00020833333
0.00162,0.00083333333
0.0016300000000000004,0.00083333333
0.00164,0.00020833333
0.0016500000000000004,0.00020833333
0.00166,0.00020833333
0.0016700000000000005,0.000625
0.00168,0.00020833333
0.0016900000000000005,0.0
0.0017000000000000001,-0.00020833333
0.0017100000000000006,0.00020833333
0.0017200000000000002,0.000625
0.0017300000000000006,0.000625
0.0017400000000000002,0.00020833333
0.0017500000000000007,0.00020833333
0.0017600000000000003,0.00020833333
0.0017700000000000007,0.000625
0.0017800000000000003,0.00083333333
0.00179,0.00041666667
0.0018000000000000004,0.0
0.00181,0.00020833333
0.0018200000000000004,0.00041666667
0.00183,0.000625
0.0018400000000000005,0.00041666667
0.00185,-0.00020833333
0.0018600000000000005,0.00020833333
0.0018700000000000001,0.00041666667
0.0018800000000000006,0.000625
0.0018900000000000002,0.00041666667
0.0019000000000000006,0.0
0.0019100000000000002,0.000625
0.0019200000000000007,-0.00083333333
0.0019300000000000003,0.003125
0.0019400000000000008,-0.00375
0.0019500000000000003,0.0077083333
0.00196,-0.0125
0.0019700000000000004,0.0225
0.00198,-0.044583333
0.0019900000000000004,0.32708333
0.002,0.98375
0.0020100000000000005,0.97333333
0.00202,0.99583333
0.0020300000000000006,0.98291667
0.00204,0.99291667
0.0020500000000000006,0.98770833
0.00206,0.99
0.0020700000000000007,0.989375
0.0020800000000000003,0.99020833
0.0020900000000000007,0.990625
0.0021000000000000003,0.99083333
0.0021100000000000008,0.99104167
0.0021200000000000004,0.99125
0.00213,0.991875
